Sports,Discipline,"""Anabolic Agents S1.""","""Peptide Hormones, Growth Factors and Related Substances S2.""","""Beta‐2 Agonists S3.""","""Hormone and Metabolic Modulators S4.""","""Diuretics and Other Masking Agents S5.""","""Stimulants S6.""","""Narcotics S7.""","""Cannabinoids S8.""","""Glucocortico‐ steroids S9.""","""Alcohol P1.""","""Beta‐ Blockers P2.""","""Enhancement of Oxygen Transfer M1.""","""Chemical and Physical Manipulation M2.""",Sub total
Shooting Para Sport,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-
Aquatics,CISS Swimming Sprint 100m or less,1,-,-,1,-,-,-,-,-,-,-,-,-,2
,CISS Swimming Middle Distance 200-400m,-,-,-,-,2,-,-,-,-,-,-,-,-,2
Archery,Para-Archery**,-,-,-,-,-,1,-,-,-,-,3,-,-,-
,INAS Middle Distance 800-1500m,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Athletics,INAS Long Distance 3000m and greater,-,-,-,1,-,-,-,-,-,-,-,-,-,1
,CISS Long Distance 3000m and greater,-,-,-,-,-,1,-,-,-,-,-,-,-,1
,CISS Sprint 400m or less,-,-,-,-,1,-,-,-,-,-,-,-,-,1
Basketball,Wheelchair Basketball,-,-,-,-,3,1,-,1,-,-,-,-,-,-
Boccia,Para-Boccia,2,-,-,-,2,-,-,-,-,-,-,-,-,-
CP Football,CP Football,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Curling,Wheelchair Curling,-,-,-,3,6,-,1,-,-,-,-,-,-,-
Cycling,Para-Cycling Road**,8,-,-,-,10,5,-,-,-,-,-,-,-,23
,Para-Cycling Track Endurance**,-,-,-,-,-,2,-,-,-,-,-,-,-,2
Fencing,Wheelchair Fencing,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Football,CISS Football,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Football 5-a-Side,Para-Football 5-a-side,-,-,-,-,4,-,1,1,-,-,-,-,-,-
Goalball,Goalball,1,-,-,-,3,-,-,-,-,-,-,-,-,-
Handball,CISS Handball,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Judo,Para-Judo**,-,-,-,-,3,-,1,-,-,-,-,-,-,-
Para-Athletics,Throws,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Powerlifting,IBSA Powerlifting,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Rowing,Para-Rowing**,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Other Rugby,Wheelchair Rugby,1,-,-,-,2,-,1,1,-,-,-,-,-,-
Sitting Volleyball,Sitting Volleyball,1,-,-,2,3,-,-,-,-,-,-,-,-,-
Table Tennis,Para-Table Tennis**,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Taekwondo,Para-Taekwondo-Kyorugi,-,-,-,-,2,1,-,-,-,-,-,-,-,-
Tennis,Wheelchair Tennis**,-,-,-,-,-,-,2,-,-,-,-,-,-,-
